source_col_global,source_row_global,area_m2,major_axis_m,minor_axis_m,elongation,freshness_score,age_class
18.0,676.0,1603.9,100.7,37.2,0.37,0.3683,ancient
94.0,259.0,250.0,50.0,15.5,0.311,0.3435,ancient
11.0,987.0,221.1,52.5,19.5,0.371,0.3796,ancient
95.0,448.0,140.3,31.4,16.0,0.51,0.2965,ancient
28.0,934.0,133.6,31.9,10.8,0.337,0.5782,recent
11.0,987.0,127.3,27.1,14.0,0.516,0.4143,ancient
126.0,987.0,105.2,33.4,10.8,0.322,0.3612,ancient
69.0,238.0,82.2,27.7,7.8,0.284,0.3316,ancient
98.0,768.0,69.4,13.9,7.9,0.571,0.3346,ancient
35.0,848.0,48.6,12.1,5.4,0.451,0.4687,ancient
67.0,218.0,48.4,26.0,4.9,0.189,0.3864,ancient
118.0,424.0,37.9,12.3,4.6,0.372,0.3597,ancient
33.0,400.0,36.3,11.2,5.8,0.521,0.3464,ancient
21.0,117.0,35.4,9.0,5.5,0.612,0.4562,ancient
5.0,816.0,31.4,8.9,5.4,0.611,0.498,ancient
8.0,770.0,30.2,12.0,4.2,0.352,0.3274,ancient
74.0,724.0,29.9,10.1,6.4,0.64,0.3105,ancient
45.0,32.0,27.1,11.8,6.1,0.516,0.3638,ancient
