x_pixel_global,y_pixel_global,radius_px,diameter_m,contrast,near_landslide,landslide_age
66,282,66,39.6,34.48,True,ancient
68,172,62,37.2,26.94,True,ancient
70,358,62,37.2,30.79,True,ancient
70,940,57,34.2,27.07,True,recent
80,94,53,31.8,26.67,False,none
134,646,46,27.6,23.77,True,ancient
0,0,42,25.2,143.08,True,ancient
0,324,42,25.2,45.09,True,ancient
135,218,42,25.2,48.0,True,ancient
2,840,38,22.8,34.17,True,ancient
135,1022,38,22.8,148.6,True,ancient
38,1022,35,21.0,62.82,True,ancient
135,0,34,20.4,45.3,False,none
108,418,30,18.0,20.38,True,ancient
136,838,30,18.0,21.97,True,recent
136,118,29,17.4,73.12,False,none
0,112,29,17.4,29.25,True,ancient
70,28,28,16.8,27.53,True,ancient
28,882,27,16.2,39.63,True,ancient
108,798,25,15.0,22.27,True,ancient
135,999,25,15.0,137.32,True,ancient
0,898,25,15.0,65.06,True,ancient
74,518,25,15.0,26.13,True,ancient
90,976,24,14.4,115.14,True,recent
44,860,23,13.8,27.96,True,ancient
136,306,23,13.8,22.55,True,ancient
134,388,23,13.8,27.1,True,ancient
86,758,22,13.2,20.43,True,ancient
6,999,20,12.0,60.43,True,ancient
0,267,20,12.0,34.4,True,ancient
47,950,20,12.0,133.38,True,recent
18,794,18,10.8,32.53,True,ancient
26,988,18,10.8,36.4,True,ancient
135,950,16,9.6,51.95,True,ancient
52,792,16,9.6,34.52,True,ancient
72,812,16,9.6,36.4,True,ancient
34,26,15,9.0,28.44,True,ancient
135,485,12,7.2,35.27,True,ancient
76,614,12,7.2,21.69,True,ancient
135,573,12,7.2,29.5,True,ancient
135,939,12,7.2,39.17,True,recent
91,456,12,7.2,30.58,True,ancient
39,580,12,7.2,44.44,True,ancient
79,873,12,7.2,39.13,True,ancient
0,930,12,7.2,53.82,True,recent
82,852,12,7.2,31.24,True,ancient
102,866,12,7.2,25.1,True,ancient
96,694,7,4.2,36.13,True,ancient
14,511,7,4.2,37.89,True,ancient
7,724,7,4.2,27.78,True,ancient
90,712,7,4.2,40.01,True,ancient
18,445,7,4.2,31.48,True,ancient
66,437,7,4.2,37.54,True,ancient
