x_pixel_global,y_pixel_global,radius_px,diameter_m,contrast,near_landslide,landslide_age
152,356,68,40.8,34.07,True,ancient
62,636,61,36.6,27.23,True,ancient
14,394,61,36.6,40.92,False,none
80,512,53,31.8,23.03,True,ancient
100,460,49,29.4,29.85,True,ancient
66,730,46,27.6,20.3,True,ancient
102,946,46,27.6,24.13,True,ancient
152,462,46,27.6,22.67,True,ancient
152,0,42,25.2,63.62,False,none
0,722,42,25.2,32.51,True,ancient
0,950,42,25.2,28.18,True,ancient
72,70,41,24.6,29.95,True,ancient
70,324,41,24.6,28.78,True,ancient
8,322,39,23.4,26.08,True,ancient
86,1024,36,21.6,37.58,True,ancient
0,526,34,20.4,59.83,True,ancient
148,598,31,18.6,31.15,True,ancient
152,834,31,18.6,23.53,True,ancient
6,476,30,18.0,58.59,True,ancient
118,40,29,17.4,75.76,False,none
0,0,29,17.4,53.61,True,ancient
2,880,25,15.0,20.7,True,ancient
152,183,25,15.0,85.76,True,ancient
152,670,25,15.0,35.01,True,ancient
120,548,25,15.0,28.58,True,ancient
4,178,25,15.0,30.3,True,ancient
44,234,25,15.0,28.77,True,ancient
34,580,25,15.0,21.82,True,ancient
4,914,23,13.8,20.51,True,ancient
152,644,23,13.8,25.41,True,ancient
4,658,23,13.8,45.8,False,none
150,780,23,13.8,23.95,True,ancient
152,54,23,13.8,61.58,True,ancient
2,90,23,13.8,23.96,True,ancient
126,738,23,13.8,23.06,True,ancient
128,84,23,13.8,28.67,True,ancient
106,220,23,13.8,23.0,True,ancient
24,500,22,13.2,31.2,True,ancient
128,1000,22,13.2,44.07,True,ancient
22,961,20,12.0,29.12,True,ancient
68,564,19,11.4,26.14,True,ancient
140,874,19,11.4,33.02,True,ancient
66,120,18,10.8,31.74,True,ancient
90,384,18,10.8,23.86,True,ancient
62,144,18,10.8,21.64,True,ancient
62,834,17,10.2,20.5,True,ancient
40,1006,17,10.2,22.58,True,ancient
22,858,17,10.2,29.43,True,ancient
134,232,17,10.2,31.51,True,ancient
0,977,16,9.6,23.31,True,ancient
130,902,16,9.6,26.4,True,ancient
132,632,16,9.6,20.28,True,ancient
0,148,16,9.6,55.85,True,ancient
0,246,16,9.6,43.38,True,ancient
113,855,16,9.6,39.07,True,ancient
97,115,16,9.6,35.36,True,ancient
31,912,16,9.6,33.64,True,ancient
54,274,16,9.6,26.2,True,ancient
20,792,15,9.0,22.01,True,ancient
52,188,13,7.8,37.12,True,ancient
152,77,12,7.2,34.61,True,ancient
48,999,12,7.2,33.46,True,ancient
14,113,12,7.2,23.19,True,ancient
140,1008,12,7.2,42.62,True,ancient
0,785,12,7.2,35.79,True,ancient
150,109,12,7.2,40.4,True,ancient
18,35,12,7.2,39.09,True,ancient
87,566,12,7.2,55.74,True,ancient
44,457,12,7.2,65.83,True,ancient
152,967,12,7.2,60.41,True,ancient
78,179,12,7.2,92.43,True,ancient
16,934,12,7.2,52.58,True,ancient
138,156,10,6.0,23.28,True,ancient
10,68,8,4.8,21.31,True,ancient
48,868,7,4.2,26.3,True,ancient
67,799,7,4.2,30.6,True,ancient
20,999,7,4.2,42.1,True,ancient
30,268,7,4.2,25.0,True,ancient
152,524,7,4.2,40.19,True,ancient
88,888,7,4.2,29.16,True,ancient
91,828,7,4.2,28.46,True,ancient
127,145,7,4.2,27.91,True,ancient
29,73,7,4.2,36.19,True,ancient
41,844,7,4.2,28.15,True,ancient
28,116,7,4.2,23.8,True,ancient
0,597,7,4.2,27.08,True,ancient
35,160,7,4.2,23.92,True,ancient
0,1023,7,4.2,82.42,True,ancient
129,1023,7,4.2,61.5,True,ancient
48,965,7,4.2,52.9,True,ancient
113,992,7,4.2,30.35,True,ancient
77,866,7,4.2,35.0,True,ancient
152,275,7,4.2,47.48,True,ancient
30,818,7,4.2,39.37,True,ancient
0,213,7,4.2,66.26,True,ancient
115,583,7,4.2,117.1,True,ancient
110,705,7,4.2,49.28,True,ancient
83,163,7,4.2,124.15,True,ancient
120,769,7,4.2,104.99,True,ancient
10,264,7,4.2,70.43,True,ancient
39,946,7,4.2,67.95,True,ancient
66,987,7,4.2,58.9,True,ancient
95,156,7,4.2,122.49,True,ancient
75,265,7,4.2,51.06,True,ancient
9,47,7,4.2,43.33,True,ancient
142,122,7,4.2,46.97,True,ancient
120,692,7,4.2,42.38,True,ancient
110,294,7,4.2,39.63,True,ancient
79,849,7,4.2,38.94,True,ancient
0,280,7,4.2,49.66,True,ancient
113,120,3,1.8,35.84,True,ancient
120,124,3,1.8,22.94,True,ancient
37,804,3,1.8,30.57,True,ancient
73,371,3,1.8,37.67,True,ancient
81,254,3,1.8,28.39,True,ancient
22,765,3,1.8,30.36,True,ancient
28,191,3,1.8,21.42,True,ancient
