source_col_global,source_row_global,area_m2,major_axis_m,minor_axis_m,elongation,freshness_score,age_class
140.0,945.0,1905.2,84.5,43.3,0.512,0.3202,ancient
144.0,106.0,178.2,27.0,12.0,0.443,0.3898,ancient
105.0,975.0,158.2,27.1,14.2,0.525,0.3049,ancient
100.0,507.0,129.5,28.2,15.4,0.547,0.3215,ancient
33.0,65.0,128.2,26.4,8.3,0.315,0.4228,ancient
119.0,764.0,124.2,25.7,8.9,0.346,0.4071,ancient
139.0,490.0,122.6,21.4,10.9,0.507,0.3039,ancient
113.0,347.0,82.9,17.7,10.8,0.61,0.4888,ancient
54.0,152.0,68.7,17.5,11.4,0.65,0.2988,ancient
138.0,661.0,45.4,11.0,6.4,0.582,0.4461,ancient
12.0,536.0,39.6,10.4,5.7,0.545,0.4153,ancient
104.0,558.0,36.1,11.5,4.7,0.409,0.5497,ancient
45.0,1017.0,35.2,11.7,5.2,0.446,0.3152,ancient
26.0,291.0,33.8,11.3,5.4,0.476,0.353,ancient
4.0,744.0,33.5,9.6,5.0,0.524,0.3376,ancient
78.0,192.0,32.8,16.9,4.1,0.241,0.3505,ancient
15.0,255.0,31.0,9.5,4.8,0.505,0.3281,ancient
37.0,546.0,28.2,8.7,4.5,0.512,0.3471,ancient
