x_pixel_global,y_pixel_global,radius_px,diameter_m,contrast,near_landslide,landslide_age
90,1020,37,22.2,35.21,True,ancient
130,1023,25,15.0,109.29,True,ancient
102,972,20,12.0,22.41,True,ancient
130,676,19,11.4,23.34,True,ancient
78,999,12,7.2,99.93,True,ancient
128,514,12,7.2,47.96,True,ancient
130,141,12,7.2,23.72,True,ancient
102,531,12,7.2,23.95,True,ancient
130,395,12,7.2,23.72,True,ancient
77,650,12,7.2,23.28,True,ancient
116,616,8,4.8,32.0,True,ancient
100,983,7,4.2,30.3,True,ancient
33,452,7,4.2,27.61,True,ancient
64,976,7,4.2,28.27,True,ancient
78,861,7,4.2,24.32,True,ancient
122,301,7,4.2,26.39,True,ancient
47,987,7,4.2,27.37,True,ancient
80,177,7,4.2,34.08,True,ancient
65,137,7,4.2,29.65,True,ancient
0,763,7,4.2,30.57,True,ancient
130,270,7,4.2,26.85,False,none
0,952,7,4.2,28.1,True,ancient
25,705,7,4.2,20.55,True,ancient
28,404,7,4.2,22.42,True,ancient
130,796,7,4.2,20.25,True,ancient
103,246,7,4.2,25.6,True,ancient
15,513,7,4.2,20.04,False,none
82,571,7,4.2,29.22,True,ancient
112,596,7,4.2,23.23,True,ancient
130,939,7,4.2,26.18,True,ancient
59,584,7,4.2,20.11,True,ancient
118,0,7,4.2,25.87,False,none
130,359,7,4.2,20.3,True,ancient
130,325,7,4.2,26.85,True,ancient
0,579,7,4.2,22.16,True,ancient
130,831,7,4.2,30.91,True,ancient
28,500,7,4.2,49.94,False,none
107,671,7,4.2,101.45,True,ancient
89,193,7,4.2,26.32,True,ancient
104,571,7,4.2,79.33,True,ancient
88,604,7,4.2,66.55,True,ancient
105,173,7,4.2,79.42,True,ancient
130,616,7,4.2,70.31,True,ancient
0,45,7,4.2,48.54,True,ancient
40,287,7,4.2,55.13,True,ancient
42,679,7,4.2,51.09,True,ancient
69,625,7,4.2,46.16,True,ancient
63,950,7,4.2,88.8,True,ancient
90,691,7,4.2,50.87,True,ancient
105,441,7,4.2,37.7,True,ancient
130,554,7,4.2,50.43,True,ancient
130,199,7,4.2,42.96,True,ancient
128,733,7,4.2,44.84,True,ancient
66,604,7,4.2,38.57,True,ancient
99,518,7,4.2,48.47,True,ancient
130,708,7,4.2,41.22,True,ancient
130,164,7,4.2,27.14,True,ancient
130,886,7,4.2,34.03,True,ancient
0,536,7,4.2,41.6,True,ancient
33,412,3,1.8,30.52,True,ancient
103,399,3,1.8,22.31,True,ancient
81,97,3,1.8,26.63,True,ancient
32,854,3,1.8,31.39,True,ancient
78,892,3,1.8,23.55,True,ancient
36,746,3,1.8,32.64,True,ancient
123,775,3,1.8,28.3,True,ancient
30,40,3,1.8,24.16,False,none
7,838,3,1.8,32.24,True,ancient
100,594,3,1.8,26.71,True,ancient
130,636,3,1.8,35.6,True,ancient
54,783,3,1.8,26.89,True,ancient
101,138,3,1.8,20.12,True,ancient
129,244,3,1.8,45.79,True,ancient
45,818,3,1.8,29.28,True,ancient
106,905,3,1.8,33.58,True,ancient
66,566,3,1.8,30.97,True,ancient
115,813,3,1.8,38.24,True,ancient
25,531,3,1.8,37.46,False,none
94,937,3,1.8,36.33,True,ancient
55,523,3,1.8,39.89,False,none
96,116,3,1.8,31.77,True,ancient
91,39,3,1.8,33.78,False,none
98,707,3,1.8,34.41,True,ancient
44,422,3,1.8,35.21,True,ancient
64,966,3,1.8,37.16,True,ancient
54,8,3,1.8,27.32,False,none
70,451,3,1.8,28.87,True,ancient
31,129,3,1.8,27.28,True,ancient
120,173,3,1.8,30.54,True,ancient
95,841,3,1.8,33.1,True,ancient
36,728,3,1.8,33.43,True,ancient
20,647,3,1.8,20.96,True,ancient
103,548,3,1.8,31.06,True,ancient
103,235,3,1.8,30.16,True,ancient
12,106,3,1.8,23.88,True,ancient
16,359,3,1.8,28.98,True,ancient
126,948,3,1.8,26.61,True,ancient
52,478,3,1.8,34.6,False,none
22,792,3,1.8,25.12,True,ancient
69,43,3,1.8,22.31,True,ancient
47,330,3,1.8,29.38,True,ancient
98,614,3,1.8,31.42,True,ancient
23,562,3,1.8,24.59,True,ancient
2,595,3,1.8,43.73,True,ancient
15,253,3,1.8,24.74,True,ancient
122,878,3,1.8,21.22,True,ancient
95,740,3,1.8,38.51,True,ancient
41,403,3,1.8,23.48,True,ancient
123,961,3,1.8,32.69,True,ancient
9,178,3,1.8,27.45,True,ancient
130,574,3,1.8,46.32,True,ancient
22,757,3,1.8,32.95,True,ancient
119,859,3,1.8,22.58,True,ancient
74,537,3,1.8,35.58,True,ancient
83,149,3,1.8,42.74,True,ancient
108,872,3,1.8,27.06,True,ancient
120,342,3,1.8,31.73,True,ancient
14,188,3,1.8,32.85,True,ancient
0,35,3,1.8,25.33,False,none
79,531,3,1.8,38.59,True,ancient
11,158,3,1.8,35.8,True,ancient
24,817,3,1.8,40.39,True,ancient
130,382,3,1.8,24.12,True,ancient
7,770,3,1.8,43.67,True,ancient
60,759,3,1.8,37.78,True,ancient
56,738,3,1.8,44.18,True,ancient
55,679,3,1.8,36.89,True,ancient
103,721,3,1.8,41.96,True,ancient
90,438,3,1.8,45.41,True,ancient
67,369,3,1.8,22.08,True,ancient
55,655,3,1.8,32.78,True,ancient
5,103,3,1.8,32.76,True,ancient
33,514,3,1.8,24.52,False,none
43,235,3,1.8,31.08,True,ancient
130,465,3,1.8,41.5,False,none
20,60,3,1.8,36.63,True,ancient
104,47,3,1.8,35.42,True,ancient
89,309,3,1.8,36.18,True,ancient
75,701,3,1.8,36.0,True,ancient
7,344,3,1.8,34.99,True,ancient
56,145,3,1.8,29.47,True,ancient
54,690,3,1.8,35.97,True,ancient
111,213,3,1.8,27.42,True,ancient
58,616,3,1.8,30.42,True,ancient
6,23,3,1.8,32.83,False,none
17,449,3,1.8,30.06,True,ancient
104,426,3,1.8,38.13,True,ancient
110,368,3,1.8,32.47,True,ancient
18,579,3,1.8,38.56,True,ancient
53,424,3,1.8,37.42,True,ancient
83,345,3,1.8,36.77,True,ancient
76,726,3,1.8,32.42,True,ancient
73,104,3,1.8,37.56,True,ancient
125,448,3,1.8,25.9,True,ancient
120,841,3,1.8,41.53,True,ancient
0,647,3,1.8,25.87,True,ancient
106,503,3,1.8,24.82,True,ancient
71,129,3,1.8,21.93,True,ancient
126,129,3,1.8,21.0,True,ancient
69,397,3,1.8,25.48,True,ancient
83,422,3,1.8,28.09,True,ancient
126,367,3,1.8,20.85,True,ancient
47,894,3,1.8,26.87,True,ancient
41,117,3,1.8,24.14,True,ancient
76,73,3,1.8,31.84,True,ancient
71,638,3,1.8,21.15,True,ancient
82,116,3,1.8,26.55,True,ancient
0,736,3,1.8,29.61,True,ancient
112,134,3,1.8,21.08,True,ancient
30,77,3,1.8,29.73,True,ancient
53,561,3,1.8,27.15,True,ancient
89,328,3,1.8,22.39,True,ancient
8,965,3,1.8,20.65,True,ancient
57,42,3,1.8,29.32,False,none
68,412,3,1.8,27.23,True,ancient
20,156,3,1.8,33.28,True,ancient
120,601,3,1.8,22.01,True,ancient
8,715,3,1.8,26.48,True,ancient
105,804,3,1.8,24.25,True,ancient
13,140,3,1.8,25.32,True,ancient
110,693,3,1.8,21.01,True,ancient
65,12,3,1.8,35.78,False,none
73,872,3,1.8,21.3,True,ancient
69,61,3,1.8,20.05,True,ancient
17,1011,3,1.8,22.9,True,ancient
31,1012,3,1.8,22.25,True,ancient
1,1012,3,1.8,30.59,True,ancient
29,1020,3,1.8,39.26,True,ancient
47,1017,3,1.8,34.26,True,ancient
32,1023,3,1.8,39.99,True,ancient
127,31,3,1.8,25.65,False,none
109,968,3,1.8,23.68,True,ancient
117,705,3,1.8,20.11,True,ancient
50,59,3,1.8,20.65,True,ancient
25,93,3,1.8,21.08,True,ancient
25,726,3,1.8,25.26,True,ancient
117,244,3,1.8,20.83,True,ancient
8,703,3,1.8,22.07,True,ancient
53,937,3,1.8,20.93,True,ancient
122,563,3,1.8,22.68,True,ancient
80,213,3,1.8,23.87,True,ancient
29,602,3,1.8,20.26,True,ancient
115,746,3,1.8,20.51,True,ancient
129,907,3,1.8,22.58,True,ancient
98,354,3,1.8,22.76,True,ancient
51,448,3,1.8,27.18,True,ancient
43,17,3,1.8,23.44,False,none
6,372,3,1.8,25.84,True,ancient
0,722,3,1.8,29.52,True,ancient
41,633,3,1.8,31.36,True,ancient
107,378,3,1.8,32.86,True,ancient
