source_col_global,source_row_global,area_m2,major_axis_m,minor_axis_m,elongation,freshness_score,age_class
416.0,342.0,3265.7,140.3,81.3,0.579,0.5113,ancient
428.0,633.0,920.5,87.0,26.7,0.307,0.4896,ancient
595.0,475.0,713.4,87.1,20.8,0.238,0.4809,ancient
71.0,285.0,373.4,41.4,23.9,0.578,0.5522,recent
633.0,194.0,285.5,57.5,13.9,0.243,0.507,ancient
476.0,302.0,276.6,44.4,22.1,0.498,0.5102,ancient
151.0,233.0,170.4,30.0,13.5,0.45,0.5425,ancient
452.0,220.0,94.2,26.1,8.2,0.313,0.4872,ancient
534.0,193.0,89.3,18.7,11.5,0.617,0.5861,recent
64.0,457.0,83.1,17.8,8.9,0.502,0.52,ancient
230.0,30.0,75.7,26.4,5.9,0.225,0.545,ancient
398.0,184.0,75.1,17.6,9.3,0.53,0.602,recent
177.0,251.0,63.6,15.4,7.8,0.505,0.6024,recent
259.0,99.0,63.5,21.7,5.9,0.271,0.508,ancient
342.0,265.0,59.6,16.2,9.5,0.582,0.5347,ancient
634.0,116.0,53.2,14.6,8.1,0.556,0.5248,ancient
294.0,634.0,51.4,15.3,5.1,0.332,0.5989,recent
31.0,167.0,42.1,14.2,7.9,0.557,0.5424,ancient
288.0,166.0,41.1,15.0,7.5,0.498,0.3763,ancient
218.0,454.0,39.1,12.3,6.3,0.514,0.5372,ancient
394.0,4.0,36.8,14.5,5.5,0.38,0.5908,recent
505.0,610.0,36.3,16.0,4.0,0.25,0.5809,recent
107.0,506.0,32.8,16.1,3.7,0.231,0.5052,ancient
469.0,117.0,32.3,9.2,5.0,0.547,0.3765,ancient
452.0,12.0,31.2,14.1,4.5,0.318,0.3421,ancient
419.0,89.0,31.0,10.5,4.1,0.391,0.4864,ancient
43.0,485.0,31.0,16.3,4.0,0.244,0.6571,recent
464.0,151.0,28.7,10.4,5.4,0.519,0.5403,ancient
185.0,389.0,28.3,11.7,3.7,0.319,0.3965,ancient
598.0,5.0,27.7,11.2,3.9,0.345,0.5097,ancient
586.0,123.0,27.4,12.0,4.6,0.383,0.5626,recent
