x_pixel_global,y_pixel_global,radius_px,diameter_m,contrast,near_landslide,landslide_age
108,274,78,46.8,23.3,True,ancient
174,408,76,45.6,22.2,True,ancient
470,328,62,37.2,22.8,True,ancient
408,240,53,31.8,26.98,True,ancient
358,258,46,27.6,32.13,True,ancient
192,332,46,27.6,23.19,True,ancient
58,639,42,25.2,21.56,True,ancient
42,230,41,24.6,35.13,True,ancient
2,170,40,24.0,54.27,True,ancient
639,65,34,20.4,26.77,True,ancient
640,372,31,18.6,20.57,True,ancient
126,192,30,18.0,25.43,True,ancient
44,156,29,17.4,30.64,True,ancient
76,430,28,16.8,22.01,True,recent
370,192,28,16.8,33.08,True,recent
362,306,28,16.8,38.98,True,ancient
198,260,25,15.0,27.01,True,ancient
286,194,25,15.0,34.01,True,ancient
322,216,25,15.0,20.24,True,ancient
180,104,25,15.0,24.28,True,ancient
454,0,25,15.0,21.0,True,ancient
418,639,25,15.0,20.99,True,ancient
404,424,23,13.8,20.92,True,ancient
395,136,20,12.0,20.02,True,ancient
583,0,20,12.0,20.01,True,ancient
232,2,18,10.8,22.71,True,ancient
620,402,17,10.2,20.57,True,ancient
136,2,17,10.2,28.01,False,none
400,342,17,10.2,21.46,True,ancient
408,324,17,10.2,33.29,True,ancient
333,133,16,9.6,26.11,True,ancient
438,169,16,9.6,21.44,True,ancient
393,379,16,9.6,31.65,True,ancient
190,230,15,9.0,26.11,True,ancient
640,484,15,9.0,21.71,True,ancient
624,136,14,8.4,20.33,True,recent
230,184,14,8.4,25.58,True,ancient
382,16,14,8.4,25.29,True,recent
486,20,13,7.8,20.25,True,ancient
624,296,13,7.8,23.17,True,ancient
61,0,12,7.2,28.99,False,none
313,351,12,7.2,32.09,True,ancient
442,488,12,7.2,25.81,True,ancient
639,559,12,7.2,31.45,True,ancient
253,432,12,7.2,24.93,True,ancient
519,430,12,7.2,28.82,True,ancient
297,639,12,7.2,21.0,True,recent
580,305,12,7.2,22.14,True,ancient
437,147,12,7.2,21.93,True,ancient
384,563,12,7.2,26.81,True,ancient
271,528,12,7.2,22.2,True,ancient
305,0,12,7.2,25.72,False,none
308,99,12,7.2,30.1,True,ancient
540,625,12,7.2,30.66,True,recent
616,16,12,7.2,22.88,True,ancient
584,134,12,7.2,84.13,True,recent
398,554,12,7.2,35.29,True,ancient
626,342,12,7.2,24.25,True,ancient
234,216,12,7.2,20.2,True,ancient
0,218,12,7.2,93.49,True,ancient
0,292,12,7.2,80.22,True,recent
626,320,12,7.2,28.34,True,ancient
52,339,12,7.2,48.32,True,recent
28,320,12,7.2,42.82,True,recent
150,79,12,7.2,44.47,True,ancient
639,175,12,7.2,29.92,True,ancient
610,302,12,7.2,30.93,True,ancient
234,201,12,7.2,38.06,True,ancient
394,474,9,5.4,22.62,True,ancient
628,100,9,5.4,23.43,True,recent
68,494,8,4.8,34.47,True,ancient
46,597,7,4.2,25.68,True,ancient
229,263,7,4.2,31.27,True,recent
382,466,7,4.2,37.42,True,ancient
561,639,7,4.2,25.14,True,ancient
582,417,7,4.2,37.6,True,ancient
298,122,7,4.2,24.21,True,ancient
328,44,7,4.2,31.86,False,none
363,515,7,4.2,32.94,True,ancient
277,453,7,4.2,36.42,True,ancient
0,268,7,4.2,39.87,True,recent
476,108,7,4.2,28.6,True,ancient
154,555,7,4.2,24.24,True,ancient
240,112,7,4.2,29.16,True,ancient
0,412,7,4.2,28.39,True,recent
368,500,7,4.2,33.23,True,ancient
429,100,7,4.2,28.96,True,ancient
180,76,7,4.2,29.4,True,ancient
99,484,7,4.2,25.75,True,ancient
629,453,7,4.2,26.79,True,ancient
168,130,7,4.2,30.5,True,ancient
580,639,7,4.2,23.71,True,ancient
550,243,7,4.2,31.25,True,recent
372,138,7,4.2,31.09,True,recent
307,160,7,4.2,25.36,True,ancient
435,441,7,4.2,28.61,True,ancient
279,262,7,4.2,33.03,True,ancient
264,106,7,4.2,34.25,True,ancient
439,463,7,4.2,31.48,True,ancient
575,458,7,4.2,28.72,True,ancient
365,153,7,4.2,28.58,True,recent
490,404,7,4.2,26.96,True,ancient
461,236,7,4.2,31.35,True,ancient
238,482,7,4.2,25.97,True,ancient
237,48,7,4.2,31.81,True,ancient
264,386,7,4.2,30.31,True,ancient
256,243,7,4.2,28.87,True,recent
12,0,7,4.2,29.04,False,none
258,29,7,4.2,21.3,True,ancient
120,553,7,4.2,23.48,True,ancient
243,38,7,4.2,25.55,True,ancient
47,370,7,4.2,21.44,True,recent
538,160,7,4.2,23.69,True,recent
236,129,7,4.2,23.96,True,ancient
30,283,7,4.2,26.05,True,recent
254,342,7,4.2,23.71,False,none
591,242,7,4.2,25.58,True,recent
455,114,7,4.2,23.81,True,ancient
318,124,7,4.2,21.54,True,ancient
323,58,7,4.2,28.93,False,none
276,479,7,4.2,22.74,True,ancient
461,634,7,4.2,22.33,True,ancient
516,226,7,4.2,20.96,True,recent
72,524,7,4.2,23.13,True,ancient
359,81,7,4.2,28.99,True,recent
114,639,7,4.2,20.19,True,ancient
501,490,7,4.2,23.27,True,ancient
300,51,7,4.2,24.07,True,ancient
432,82,7,4.2,20.21,True,recent
192,141,7,4.2,21.78,True,ancient
363,546,7,4.2,32.07,True,ancient
313,328,7,4.2,24.83,True,ancient
209,223,7,4.2,26.48,True,ancient
630,431,7,4.2,29.36,True,ancient
633,282,7,4.2,40.27,True,ancient
105,477,7,4.2,29.69,True,ancient
125,534,7,4.2,28.64,True,ancient
253,227,7,4.2,24.15,True,recent
284,600,7,4.2,24.65,True,ancient
580,172,7,4.2,28.97,True,recent
102,521,7,4.2,27.35,True,ancient
255,297,7,4.2,24.61,True,recent
188,213,7,4.2,23.07,True,ancient
376,97,7,4.2,25.34,True,ancient
489,416,7,4.2,31.45,True,ancient
624,619,7,4.2,29.64,True,ancient
172,551,7,4.2,26.4,True,ancient
500,471,7,4.2,38.02,True,ancient
599,470,7,4.2,49.4,True,ancient
639,318,7,4.2,56.16,True,ancient
149,114,7,4.2,53.44,True,ancient
32,85,7,4.2,54.78,False,none
361,422,7,4.2,53.22,True,ancient
321,399,7,4.2,51.37,True,ancient
351,0,7,4.2,64.21,True,recent
518,48,7,4.2,55.56,True,ancient
23,293,7,4.2,44.68,True,recent
340,410,7,4.2,48.56,True,ancient
256,407,7,4.2,57.78,True,ancient
376,580,7,4.2,62.1,True,ancient
524,113,7,4.2,51.66,True,ancient
591,512,7,4.2,48.16,True,ancient
359,348,7,4.2,48.02,True,ancient
590,381,7,4.2,46.89,True,ancient
356,383,7,4.2,45.17,True,ancient
360,371,7,4.2,54.12,True,ancient
470,409,7,4.2,59.62,True,ancient
601,556,7,4.2,66.52,True,ancient
339,92,7,4.2,60.85,False,none
144,130,7,4.2,34.14,True,ancient
639,299,7,4.2,115.62,True,ancient
105,352,7,4.2,89.11,True,recent
547,99,7,4.2,91.91,True,recent
564,261,7,4.2,73.69,True,recent
160,44,7,4.2,63.65,True,ancient
20,105,7,4.2,66.37,False,none
592,494,7,4.2,69.23,True,ancient
600,332,7,4.2,70.72,True,ancient
597,346,7,4.2,73.06,True,ancient
56,471,7,4.2,72.28,True,ancient
334,310,7,4.2,58.02,True,ancient
409,87,7,4.2,65.76,True,recent
52,480,7,4.2,67.96,True,ancient
329,176,7,4.2,72.52,True,ancient
476,141,7,4.2,47.33,True,ancient
394,62,7,4.2,59.83,True,recent
88,394,7,4.2,44.92,True,recent
513,126,7,4.2,30.75,True,ancient
574,469,7,4.2,41.83,True,ancient
496,611,7,4.2,35.2,True,ancient
401,172,7,4.2,28.81,True,recent
210,487,7,4.2,35.89,True,ancient
362,462,7,4.2,30.97,True,ancient
421,396,7,4.2,35.83,True,ancient
623,159,7,4.2,32.31,True,recent
623,639,7,4.2,34.51,True,ancient
