x_pixel_global,y_pixel_global,radius_px,diameter_m,contrast,near_landslide,landslide_age
440,110,79,47.4,41.02,True,recent
484,554,76,45.6,20.58,True,ancient
286,494,64,38.4,21.73,False,none
618,376,62,37.2,35.73,True,recent
208,346,61,36.6,25.22,False,none
2,32,54,32.4,41.96,True,ancient
266,316,53,31.8,23.68,False,none
568,540,52,31.2,26.22,True,ancient
320,344,51,30.6,21.66,True,recent
52,242,46,27.6,21.85,True,ancient
74,108,43,25.8,28.63,True,ancient
380,504,43,25.8,21.2,True,ancient
180,44,43,25.8,25.04,True,ancient
4,116,42,25.2,47.59,True,ancient
456,0,42,25.2,27.45,True,recent
116,148,39,23.4,20.58,True,recent
470,198,39,23.4,25.93,True,recent
436,488,39,23.4,31.08,True,ancient
216,442,38,22.8,23.44,False,none
380,446,36,21.6,25.62,False,none
88,42,36,21.6,32.85,True,ancient
552,134,36,21.6,25.49,True,recent
198,118,36,21.6,23.82,True,recent
232,256,35,21.0,20.2,False,none
430,316,30,18.0,21.23,False,none
82,206,30,18.0,41.34,True,ancient
212,500,29,17.4,25.88,True,recent
579,0,29,17.4,21.06,False,none
566,298,29,17.4,26.35,True,ancient
594,114,29,17.4,32.94,True,recent
322,422,29,17.4,22.53,True,recent
556,178,29,17.4,25.23,True,recent
124,518,29,17.4,27.3,True,recent
326,290,29,17.4,22.91,False,none
32,322,28,16.8,29.02,False,none
576,30,28,16.8,23.71,True,recent
498,26,28,16.8,20.76,True,recent
316,608,28,16.8,25.16,True,ancient
374,336,25,15.0,49.35,True,recent
342,396,25,15.0,53.48,True,recent
90,270,25,15.0,24.03,True,ancient
548,216,25,15.0,27.4,True,ancient
434,640,25,15.0,22.26,False,none
614,456,22,13.2,21.25,False,none
112,76,21,12.6,20.38,True,recent
471,330,20,12.0,32.84,True,ancient
481,442,20,12.0,26.77,True,recent
48,600,20,12.0,28.57,False,none
363,261,20,12.0,22.14,False,none
526,164,19,11.4,44.3,True,recent
182,244,18,10.8,22.09,False,none
600,226,18,10.8,22.49,True,ancient
540,334,18,10.8,43.95,True,ancient
68,2,18,10.8,21.64,False,none
456,344,17,10.2,31.63,False,none
418,354,17,10.2,41.09,True,recent
381,53,16,9.6,29.36,True,recent
472,281,16,9.6,20.15,True,ancient
271,188,16,9.6,21.36,False,none
86,0,16,9.6,25.21,True,ancient
639,104,16,9.6,33.41,False,none
113,250,16,9.6,61.33,True,ancient
306,198,15,9.0,20.02,False,none
536,96,14,8.4,34.63,True,recent
64,150,14,8.4,56.52,False,none
286,592,14,8.4,21.77,True,ancient
626,248,14,8.4,22.41,True,ancient
362,80,13,7.8,26.77,True,ancient
115,559,12,7.2,24.41,False,none
117,435,12,7.2,20.91,False,none
607,142,12,7.2,25.26,True,recent
314,217,12,7.2,26.98,False,none
0,387,12,7.2,27.64,False,none
158,100,12,7.2,31.82,True,recent
145,0,12,7.2,31.03,True,ancient
31,167,12,7.2,40.66,True,ancient
639,440,12,7.2,72.38,False,none
18,164,12,7.2,39.6,False,none
538,487,12,7.2,22.3,True,ancient
252,394,8,4.8,22.76,False,none
588,262,7,4.2,23.98,True,ancient
273,391,7,4.2,24.82,False,none
610,18,7,4.2,25.21,False,none
319,17,7,4.2,22.39,False,none
504,243,7,4.2,24.93,True,ancient
334,147,7,4.2,26.06,True,ancient
298,178,7,4.2,28.77,False,none
611,78,7,4.2,23.52,True,recent
404,184,7,4.2,28.43,True,ancient
73,398,7,4.2,29.74,True,recent
73,513,7,4.2,23.18,False,none
103,460,7,4.2,28.2,False,none
517,301,7,4.2,27.04,True,ancient
38,543,7,4.2,29.09,False,none
565,264,7,4.2,28.22,True,ancient
62,306,7,4.2,29.37,True,ancient
459,270,7,4.2,29.61,True,ancient
1,238,7,4.2,35.03,False,none
601,66,7,4.2,31.26,True,recent
577,59,7,4.2,26.77,True,recent
274,230,7,4.2,20.41,False,none
53,60,7,4.2,21.26,True,ancient
138,72,7,4.2,22.49,True,recent
0,458,7,4.2,20.75,False,none
614,496,7,4.2,20.31,True,ancient
64,639,7,4.2,21.46,False,none
494,391,7,4.2,21.12,True,recent
305,87,7,4.2,21.06,True,ancient
329,237,7,4.2,22.56,False,none
123,11,7,4.2,22.21,True,ancient
337,253,7,4.2,21.37,False,none
393,42,7,4.2,21.25,True,recent
43,563,7,4.2,32.44,False,none
325,102,7,4.2,20.36,True,ancient
551,47,7,4.2,21.56,True,recent
398,218,7,4.2,24.64,True,ancient
206,220,7,4.2,21.13,False,none
528,265,7,4.2,21.18,True,ancient
113,374,7,4.2,24.0,True,recent
130,298,7,4.2,22.46,True,ancient
118,479,7,4.2,36.87,True,recent
488,410,7,4.2,26.3,True,recent
408,401,7,4.2,29.72,True,recent
173,534,7,4.2,73.46,True,recent
231,538,7,4.2,48.94,True,recent
31,288,7,4.2,59.11,True,ancient
166,471,7,4.2,53.45,True,recent
391,367,7,4.2,53.09,True,recent
138,275,7,4.2,55.86,False,none
264,17,7,4.2,66.54,False,none
165,546,7,4.2,63.91,True,recent
363,307,7,4.2,65.72,True,recent
259,404,7,4.2,63.55,False,none
413,192,7,4.2,42.96,True,ancient
144,593,7,4.2,67.13,False,none
385,388,7,4.2,83.23,True,recent
363,550,7,4.2,76.62,True,ancient
29,194,7,4.2,69.66,True,ancient
162,219,7,4.2,79.33,True,ancient
343,564,7,4.2,85.75,True,ancient
172,87,7,4.2,96.56,True,recent
83,171,7,4.2,30.5,True,ancient
360,100,7,4.2,50.4,True,ancient
139,602,7,4.2,59.34,False,none
157,268,7,4.2,39.12,False,none
386,200,7,4.2,37.43,True,ancient
430,218,7,4.2,39.53,False,none
120,216,7,4.2,38.5,True,ancient
119,404,7,4.2,34.09,True,recent
537,371,7,4.2,35.38,True,ancient
126,465,7,4.2,32.26,True,recent
292,224,7,4.2,30.96,False,none
568,327,7,4.2,37.49,True,ancient
399,278,7,4.2,44.56,False,none
597,606,7,4.2,37.58,False,none
581,77,7,4.2,38.79,True,recent
639,0,7,4.2,41.88,False,none
256,569,7,4.2,29.3,True,ancient
460,372,7,4.2,44.94,False,none
0,178,7,4.2,46.77,False,none
481,362,7,4.2,37.4,True,ancient
383,300,7,4.2,37.39,False,none
279,250,7,4.2,36.84,False,none
362,170,3,1.8,29.49,True,ancient
141,358,3,1.8,24.96,True,recent
315,567,3,1.8,33.21,True,ancient
345,133,3,1.8,25.83,True,ancient
140,379,3,1.8,31.48,True,recent
367,146,3,1.8,23.38,True,ancient
20,522,3,1.8,29.29,False,none
335,260,3,1.8,29.86,False,none
426,201,3,1.8,29.84,True,ancient
550,360,3,1.8,32.19,True,ancient
232,163,3,1.8,28.61,False,none
144,181,3,1.8,30.48,True,ancient
346,235,3,1.8,26.49,False,none
264,385,3,1.8,33.98,False,none
308,120,3,1.8,31.48,True,ancient
242,555,3,1.8,32.71,True,ancient
141,478,3,1.8,30.71,True,recent
394,206,3,1.8,32.34,True,ancient
117,301,3,1.8,33.64,True,ancient
449,417,3,1.8,23.23,True,ancient
249,201,3,1.8,24.34,False,none
155,577,3,1.8,22.49,False,none
420,395,3,1.8,27.49,True,recent
36,183,3,1.8,24.55,True,ancient
308,153,3,1.8,21.77,False,none
132,486,3,1.8,31.54,True,recent
266,151,3,1.8,25.06,False,none
181,264,3,1.8,27.13,False,none
113,417,3,1.8,22.9,True,recent
144,91,3,1.8,25.27,True,recent
161,391,3,1.8,32.18,False,none
552,268,3,1.8,27.17,True,ancient
117,321,3,1.8,25.28,True,recent
381,291,3,1.8,25.2,False,none
536,426,3,1.8,32.15,True,recent
185,287,3,1.8,26.3,False,none
343,228,3,1.8,25.57,False,none
516,433,3,1.8,23.84,True,recent
348,468,3,1.8,24.04,True,ancient
131,282,3,1.8,23.44,True,ancient
172,458,3,1.8,28.85,True,recent
101,580,3,1.8,27.46,False,none
477,369,3,1.8,31.05,True,ancient
521,64,3,1.8,34.24,True,recent
160,295,3,1.8,27.72,False,none
533,457,3,1.8,33.96,True,recent
142,492,3,1.8,30.65,True,recent
413,418,3,1.8,31.98,True,recent
497,340,3,1.8,34.71,True,ancient
557,252,3,1.8,22.0,True,ancient
477,465,3,1.8,40.44,True,ancient
493,265,3,1.8,31.76,True,ancient
268,132,3,1.8,31.47,False,none
538,412,3,1.8,33.61,True,recent
150,367,3,1.8,31.94,True,recent
277,130,3,1.8,32.89,False,none
565,68,3,1.8,33.91,True,recent
134,455,3,1.8,36.05,True,recent
155,429,3,1.8,35.95,False,none
423,272,3,1.8,22.14,False,none
358,33,3,1.8,36.01,True,ancient
377,212,3,1.8,28.81,True,ancient
632,54,3,1.8,36.24,False,none
243,149,3,1.8,30.57,False,none
591,70,3,1.8,26.26,True,recent
236,207,3,1.8,26.74,False,none
118,348,3,1.8,33.35,True,recent
46,535,3,1.8,30.03,False,none
414,213,3,1.8,31.02,True,ancient
117,276,3,1.8,29.8,True,ancient
480,377,3,1.8,26.49,True,ancient
229,187,3,1.8,27.85,False,none
523,244,3,1.8,27.58,True,ancient
173,563,3,1.8,33.42,True,recent
52,523,3,1.8,31.85,False,none
289,203,3,1.8,29.78,False,none
109,546,3,1.8,29.47,False,none
340,215,3,1.8,26.93,True,ancient
609,162,3,1.8,34.29,True,recent
174,482,3,1.8,27.76,True,recent
348,55,3,1.8,28.77,True,ancient
545,421,3,1.8,33.74,True,recent
406,277,3,1.8,34.88,False,none
150,407,3,1.8,33.79,True,recent
181,282,3,1.8,30.96,False,none
