source_col_global,source_row_global,area_m2,major_axis_m,minor_axis_m,elongation,freshness_score,age_class
531.0,247.0,1890.9,107.5,61.7,0.574,0.5665,recent
228.0,137.0,604.5,65.8,36.0,0.546,0.6122,recent
100.0,223.0,479.9,43.2,24.7,0.572,0.5595,recent
494.0,415.0,426.9,42.5,21.1,0.496,0.5592,recent
335.0,498.0,394.4,45.8,23.5,0.512,0.6364,recent
165.0,37.0,338.0,52.4,15.2,0.29,0.6266,recent
126.0,430.0,304.4,45.5,23.5,0.516,0.5536,recent
370.0,586.0,278.7,37.0,19.1,0.516,0.5554,recent
53.0,19.0,255.5,29.9,19.1,0.641,0.688,recent
150.0,266.0,240.8,37.3,12.7,0.341,0.6033,recent
125.0,369.0,194.1,34.0,14.9,0.437,0.6578,recent
78.0,414.0,148.5,28.8,10.7,0.371,0.6504,recent
457.0,537.0,131.2,20.1,11.6,0.577,0.8348,recent
630.0,76.0,126.1,36.4,11.7,0.32,0.5575,recent
458.0,49.0,124.8,27.1,11.4,0.421,0.6188,recent
358.0,445.0,114.6,21.2,12.7,0.598,0.7285,recent
283.0,288.0,107.7,25.2,7.6,0.302,0.564,recent
4.0,517.0,102.5,20.9,10.2,0.49,0.5341,ancient
147.0,62.0,102.3,25.5,9.3,0.367,0.6815,recent
187.0,586.0,99.9,20.3,7.7,0.377,0.5462,ancient
610.0,281.0,76.9,22.0,10.3,0.469,0.4457,ancient
525.0,576.0,71.8,21.9,8.7,0.395,0.5504,recent
597.0,440.0,63.1,15.6,6.7,0.431,0.6618,recent
430.0,374.0,56.7,15.6,5.3,0.341,0.2819,ancient
471.0,573.0,55.7,16.3,5.9,0.363,0.6084,recent
84.0,608.0,55.4,18.6,5.8,0.311,0.4928,ancient
531.0,584.0,54.5,17.6,6.7,0.378,0.396,ancient
300.0,265.0,53.3,13.4,6.4,0.476,0.6862,recent
275.0,638.0,52.3,15.5,6.9,0.446,0.5337,ancient
546.0,271.0,45.3,10.2,6.6,0.643,0.5345,ancient
417.0,361.0,44.6,20.7,3.8,0.183,0.3726,ancient
556.0,155.0,44.6,10.3,5.8,0.564,0.602,recent
267.0,566.0,41.3,11.2,6.0,0.536,0.3555,ancient
308.0,486.0,38.2,13.7,4.4,0.325,0.3141,ancient
564.0,249.0,33.8,11.1,4.4,0.398,0.5047,ancient
241.0,603.0,33.5,10.0,5.8,0.578,0.4518,ancient
7.0,393.0,27.0,8.3,4.8,0.581,0.4172,ancient
58.0,107.0,27.0,8.0,5.1,0.629,0.5375,ancient
