source_col_global,source_row_global,area_m2,major_axis_m,minor_axis_m,elongation,freshness_score,age_class
258.0,592.0,261.3,44.2,16.1,0.364,0.515,ancient
454.0,458.0,209.8,33.4,20.6,0.617,0.5563,recent
396.0,377.0,206.1,36.6,12.5,0.342,0.568,recent
345.0,286.0,201.7,26.5,15.2,0.572,0.6002,recent
598.0,38.0,194.8,36.8,16.1,0.436,0.4788,ancient
310.0,75.0,132.2,18.9,11.0,0.578,0.5806,recent
163.0,390.0,123.4,21.3,13.7,0.642,0.6057,recent
58.0,568.0,111.3,28.4,8.8,0.31,0.5455,ancient
563.0,120.0,107.5,21.6,9.2,0.426,0.5884,recent
65.0,35.0,97.3,17.3,10.7,0.623,0.4977,ancient
343.0,111.0,91.6,27.1,8.4,0.308,0.5731,recent
539.0,501.0,90.4,22.3,10.3,0.46,0.6139,recent
437.0,211.0,86.9,19.0,7.3,0.381,0.5362,ancient
370.0,150.0,81.2,24.3,7.7,0.316,0.6846,recent
241.0,407.0,76.0,14.7,8.4,0.569,0.4756,ancient
597.0,192.0,72.4,17.4,7.8,0.452,0.5317,ancient
601.0,340.0,62.6,16.6,7.4,0.445,0.491,ancient
223.0,509.0,57.3,14.1,7.8,0.556,0.5823,recent
63.0,106.0,51.1,13.4,6.8,0.504,0.5574,recent
368.0,25.0,50.5,11.0,7.1,0.648,0.5805,recent
179.0,43.0,45.9,12.4,6.8,0.55,0.5194,ancient
252.0,365.0,45.8,11.2,5.9,0.526,0.448,ancient
247.0,599.0,35.6,10.3,5.2,0.506,0.6099,recent
149.0,620.0,35.3,10.9,6.2,0.57,0.4834,ancient
45.0,51.0,31.0,11.2,4.5,0.401,0.3795,ancient
448.0,614.0,31.0,9.1,4.7,0.518,0.693,recent
444.0,542.0,30.8,11.1,4.0,0.361,0.6137,recent
