source_col_global,source_row_global,area_m2,major_axis_m,minor_axis_m,elongation,freshness_score,age_class
114.0,72.0,972.5,66.4,38.4,0.578,0.3068,ancient
81.0,18.0,216.3,36.0,13.6,0.378,0.3201,ancient
93.0,666.0,160.6,30.7,13.7,0.448,0.2734,ancient
81.0,294.0,137.2,20.4,10.7,0.522,0.2706,ancient
48.0,552.0,105.6,16.4,9.5,0.581,0.2936,ancient
108.0,516.0,65.2,18.8,6.7,0.356,0.2497,ancient
103.0,315.0,60.5,17.7,7.7,0.436,0.2762,ancient
12.0,78.0,58.2,13.4,8.6,0.641,0.3319,ancient
50.0,349.0,50.2,16.5,8.0,0.486,0.3422,ancient
50.0,102.0,41.0,12.4,5.8,0.466,0.3343,ancient
27.0,986.0,37.9,12.8,4.7,0.37,0.3479,ancient
79.0,549.0,36.6,13.9,6.1,0.439,0.395,ancient
54.0,623.0,29.5,13.9,3.8,0.271,0.3224,ancient
19.0,289.0,28.4,8.7,4.9,0.564,0.3138,ancient
