x_pixel_global,y_pixel_global,radius_px,diameter_m,contrast,near_landslide,landslide_age
66,932,58,34.8,20.61,False,none
50,872,41,24.6,20.51,False,none
135,878,34,20.4,54.8,False,none
74,1000,32,19.2,32.51,True,ancient
4,866,31,18.6,50.36,False,none
30,826,30,18.0,21.56,False,none
135,725,29,17.4,26.51,True,ancient
106,742,25,15.0,24.5,True,ancient
136,140,25,15.0,27.71,True,ancient
70,811,25,15.0,74.11,False,none
34,686,23,13.8,21.28,True,ancient
22,794,23,13.8,38.89,False,none
84,764,23,13.8,28.86,False,none
134,810,22,13.2,39.73,False,none
0,83,20,12.0,37.78,True,ancient
18,998,20,12.0,32.83,True,ancient
20,766,20,12.0,31.23,False,none
135,171,20,12.0,36.49,True,ancient
118,998,19,11.4,35.1,False,none
40,254,18,10.8,23.8,True,ancient
118,438,18,10.8,25.19,False,none
88,978,18,10.8,20.22,True,ancient
20,196,17,10.2,20.85,True,ancient
0,333,16,9.6,47.2,True,ancient
59,994,16,9.6,77.96,True,ancient
106,968,16,9.6,51.44,False,none
135,95,16,9.6,24.67,True,ancient
57,141,16,9.6,28.36,True,ancient
16,899,16,9.6,54.57,False,none
114,820,16,9.6,37.11,False,none
135,506,16,9.6,46.3,True,ancient
135,964,16,9.6,59.31,False,none
0,282,16,9.6,87.33,True,ancient
4,170,16,9.6,34.96,True,ancient
18,668,16,9.6,20.39,True,ancient
135,917,16,9.6,69.17,False,none
18,398,14,8.4,21.1,True,ancient
50,964,14,8.4,20.52,True,ancient
16,270,14,8.4,29.59,True,ancient
34,532,12,7.2,34.0,True,ancient
40,1022,12,7.2,27.42,True,ancient
23,950,12,7.2,42.61,True,ancient
88,950,12,7.2,78.11,True,ancient
27,372,12,7.2,22.04,True,ancient
53,116,12,7.2,32.41,True,ancient
0,108,12,7.2,34.21,True,ancient
0,721,12,7.2,47.44,False,none
99,802,12,7.2,26.62,False,none
25,974,12,7.2,32.29,True,ancient
0,926,12,7.2,42.56,False,none
128,754,12,7.2,43.47,True,ancient
34,984,12,7.2,25.5,True,ancient
51,284,12,7.2,87.74,True,ancient
76,462,12,7.2,37.76,True,ancient
66,571,12,7.2,46.84,True,ancient
135,631,12,7.2,47.83,True,ancient
52,343,12,7.2,39.78,True,ancient
102,18,7,4.2,33.52,True,ancient
122,29,7,4.2,38.58,True,ancient
45,186,7,4.2,35.0,True,ancient
128,388,7,4.2,35.47,True,ancient
135,688,7,4.2,40.92,True,ancient
18,6,7,4.2,45.96,True,ancient
40,641,7,4.2,40.05,True,ancient
79,596,7,4.2,38.35,True,ancient
97,66,7,4.2,35.7,True,ancient
7,567,7,4.2,36.37,True,ancient
19,582,7,4.2,42.98,True,ancient
122,474,7,4.2,39.56,True,ancient
43,596,7,4.2,39.62,True,ancient
98,858,7,4.2,38.42,False,none
32,107,7,4.2,32.31,True,ancient
125,341,7,4.2,39.31,True,ancient
31,322,7,4.2,47.89,True,ancient
87,171,7,4.2,47.83,True,ancient
10,988,7,4.2,34.49,True,ancient
18,139,7,4.2,52.33,True,ancient
115,770,7,4.2,53.08,False,none
135,357,7,4.2,38.62,True,ancient
90,253,7,4.2,37.48,True,ancient
48,80,7,4.2,31.53,True,ancient
34,544,7,4.2,30.68,True,ancient
103,98,7,4.2,32.47,True,ancient
135,297,7,4.2,54.04,True,ancient
0,1008,7,4.2,30.49,True,ancient
96,1022,7,4.2,62.18,False,none
0,24,7,4.2,27.99,True,ancient
111,655,7,4.2,20.35,True,ancient
65,373,7,4.2,22.3,True,ancient
83,525,7,4.2,29.47,True,ancient
135,319,7,4.2,26.33,True,ancient
113,641,7,4.2,23.17,True,ancient
107,244,7,4.2,27.16,True,ancient
3,735,7,4.2,43.12,False,none
31,435,7,4.2,27.23,False,none
41,708,7,4.2,28.07,True,ancient
72,625,7,4.2,29.7,True,ancient
88,436,7,4.2,32.07,False,none
118,2,7,4.2,30.2,True,ancient
125,525,7,4.2,21.46,True,ancient
73,705,7,4.2,29.6,True,ancient
56,18,7,4.2,31.97,True,ancient
57,0,7,4.2,33.89,True,ancient
92,637,7,4.2,30.86,True,ancient
91,370,7,4.2,49.57,True,ancient
44,151,7,4.2,29.86,True,ancient
97,209,7,4.2,54.55,True,ancient
93,394,7,4.2,88.44,True,ancient
74,359,7,4.2,71.33,True,ancient
44,236,7,4.2,70.57,True,ancient
91,413,7,4.2,83.22,True,ancient
92,469,7,4.2,88.37,True,ancient
91,148,7,4.2,72.38,True,ancient
68,313,7,4.2,79.27,True,ancient
26,601,7,4.2,89.19,True,ancient
76,679,7,4.2,97.7,True,ancient
24,735,7,4.2,76.43,False,none
16,235,7,4.2,89.41,True,ancient
109,522,7,4.2,79.17,True,ancient
84,158,7,4.2,78.03,True,ancient
120,224,7,4.2,110.0,True,ancient
