source_col_global,source_row_global,area_m2,major_axis_m,minor_axis_m,elongation,freshness_score,age_class
35.0,421.0,478.9,55.7,27.0,0.485,0.3751,ancient
37.0,957.0,289.5,43.6,13.8,0.316,0.863,recent
35.0,29.0,288.4,40.0,15.3,0.382,0.314,ancient
27.0,159.0,202.0,27.4,12.5,0.454,0.2746,ancient
32.0,239.0,161.5,39.8,8.6,0.217,0.2936,ancient
60.0,816.0,154.2,21.0,11.7,0.555,0.3733,ancient
45.0,724.0,147.5,27.0,12.8,0.475,0.2973,ancient
37.0,957.0,119.6,21.4,10.3,0.483,0.4786,ancient
98.0,653.0,117.7,17.6,10.5,0.596,0.3275,ancient
53.0,884.0,109.8,24.3,9.9,0.409,0.4353,ancient
148.0,808.0,101.2,21.8,12.1,0.556,0.3692,ancient
145.0,14.0,95.7,22.8,11.6,0.51,0.3595,ancient
112.0,223.0,85.5,21.4,8.9,0.418,0.3969,ancient
124.0,94.0,64.6,16.1,9.2,0.575,0.3018,ancient
117.0,944.0,59.2,16.2,6.7,0.412,0.5346,ancient
104.0,321.0,52.8,14.2,6.3,0.44,0.394,ancient
150.0,886.0,51.5,13.3,7.4,0.558,0.3072,ancient
43.0,582.0,48.8,14.0,7.0,0.5,0.3734,ancient
16.0,642.0,48.0,13.4,8.4,0.63,0.3014,ancient
70.0,906.0,45.2,16.8,5.7,0.34,0.4663,ancient
116.0,688.0,37.6,16.5,4.8,0.293,0.3185,ancient
116.0,636.0,36.7,15.9,5.1,0.317,0.3402,ancient
20.0,271.0,36.3,13.9,4.1,0.294,0.3326,ancient
98.0,603.0,35.3,13.3,6.0,0.453,0.3829,ancient
62.0,481.0,34.1,11.4,4.7,0.41,0.3226,ancient
4.0,706.0,33.1,9.8,6.2,0.638,0.2762,ancient
10.0,738.0,31.0,13.4,5.9,0.438,0.3073,ancient
21.0,127.0,28.2,10.3,5.8,0.563,0.2877,ancient
139.0,845.0,27.4,10.4,4.3,0.407,0.3396,ancient
69.0,79.0,27.4,13.3,5.3,0.4,0.2483,ancient
