source_col_global,source_row_global,area_m2,major_axis_m,minor_axis_m,elongation,freshness_score,age_class
341.0,317.0,633.7,64.3,26.5,0.413,0.5575,recent
447.0,608.0,434.8,59.0,24.5,0.414,0.638,recent
271.0,143.0,321.0,37.1,19.9,0.536,0.554,recent
124.0,253.0,227.0,34.4,16.6,0.483,0.6925,recent
478.0,3.0,206.5,36.0,19.2,0.535,0.6195,recent
614.0,120.0,194.8,31.9,16.0,0.501,0.5805,recent
430.0,375.0,178.8,28.6,16.1,0.563,0.6222,recent
470.0,83.0,177.2,23.7,13.4,0.565,0.6868,recent
186.0,62.0,165.0,39.2,19.3,0.492,0.657,recent
78.0,348.0,143.7,26.6,11.2,0.42,0.5738,recent
525.0,468.0,116.8,37.9,9.4,0.249,0.6024,recent
308.0,148.0,115.8,23.2,12.8,0.551,0.6793,recent
357.0,134.0,113.1,22.2,13.7,0.616,0.6349,recent
67.0,363.0,112.2,24.4,12.6,0.516,0.5398,ancient
627.0,190.0,108.3,27.1,9.9,0.365,0.6287,recent
529.0,450.0,103.1,22.5,11.6,0.514,0.5906,recent
533.0,613.0,102.5,22.9,8.8,0.386,0.6905,recent
208.0,219.0,99.8,19.7,9.1,0.464,0.6365,recent
626.0,525.0,92.1,21.1,9.8,0.464,0.624,recent
597.0,292.0,88.9,23.2,8.1,0.35,0.5474,ancient
392.0,271.0,72.5,14.9,9.6,0.644,0.5604,recent
451.0,551.0,71.3,21.9,10.0,0.458,0.6769,recent
144.0,554.0,60.8,13.7,7.6,0.554,0.5602,recent
356.0,325.0,59.7,13.9,7.4,0.534,0.4649,ancient
182.0,8.0,57.2,22.0,10.0,0.454,0.6372,recent
562.0,378.0,57.0,13.0,7.8,0.596,0.6565,recent
537.0,308.0,56.5,17.3,5.5,0.319,0.6702,recent
220.0,389.0,53.4,15.1,9.1,0.603,0.6706,recent
275.0,81.0,52.7,15.0,6.4,0.427,0.5238,ancient
583.0,424.0,50.7,14.3,7.8,0.544,0.585,recent
561.0,209.0,50.3,16.2,8.5,0.527,0.6454,recent
278.0,26.0,46.8,15.6,7.5,0.482,0.7375,recent
137.0,491.0,46.4,18.6,7.3,0.394,0.6148,recent
554.0,186.0,44.9,14.2,4.9,0.341,0.6437,recent
59.0,129.0,44.6,15.8,6.7,0.424,0.6264,recent
186.0,433.0,44.5,15.0,5.2,0.345,0.5914,recent
377.0,462.0,44.1,14.7,6.9,0.471,0.6773,recent
570.0,427.0,43.1,12.1,5.8,0.478,0.5499,ancient
128.0,231.0,42.6,18.2,4.9,0.269,0.5107,ancient
163.0,491.0,41.6,11.7,5.8,0.496,0.5865,recent
180.0,170.0,40.4,13.7,5.4,0.394,0.5751,recent
391.0,556.0,39.2,12.2,7.0,0.575,0.5642,recent
265.0,611.0,38.6,11.5,6.7,0.583,0.3145,ancient
370.0,425.0,38.2,14.4,4.8,0.336,0.478,ancient
599.0,146.0,36.6,10.5,5.3,0.505,0.5807,recent
221.0,549.0,35.6,15.2,4.6,0.304,0.5693,recent
207.0,0.0,33.9,18.3,5.8,0.318,0.6877,recent
276.0,498.0,33.8,12.2,4.5,0.366,0.5049,ancient
554.0,9.0,33.7,10.3,5.1,0.499,0.3333,ancient
152.0,59.0,30.3,9.8,4.7,0.481,0.5289,ancient
326.0,256.0,28.9,10.4,5.6,0.537,0.4186,ancient
305.0,451.0,28.4,11.7,4.4,0.376,0.5266,ancient
