x_pixel_global,y_pixel_global,radius_px,diameter_m,contrast,near_landslide,landslide_age
420,190,61,36.6,23.92,False,none
406,420,58,34.8,23.34,True,recent
484,250,56,33.6,25.09,True,recent
378,142,46,27.6,23.34,True,recent
470,474,46,27.6,24.86,True,recent
336,544,46,27.6,30.17,True,recent
426,498,46,27.6,24.85,True,recent
362,594,46,27.6,25.2,True,recent
432,639,42,25.2,29.35,True,recent
556,250,41,24.6,23.58,True,recent
291,639,34,20.4,37.57,True,ancient
536,2,31,18.6,29.0,True,ancient
562,204,31,18.6,21.67,True,recent
312,600,29,17.4,24.31,True,ancient
528,32,29,17.4,20.16,True,recent
474,82,29,17.4,20.16,True,recent
272,558,29,17.4,31.22,True,ancient
494,190,29,17.4,26.34,True,recent
586,32,28,16.8,21.93,True,ancient
248,578,28,16.8,35.44,True,recent
562,610,28,16.8,24.75,True,recent
466,110,25,15.0,21.55,True,recent
237,194,25,15.0,23.77,True,recent
464,525,25,15.0,24.23,True,recent
640,204,25,15.0,28.26,True,recent
200,638,25,15.0,30.24,True,ancient
384,96,25,15.0,26.61,True,recent
530,290,25,15.0,33.3,True,recent
434,114,25,15.0,33.75,True,recent
288,510,25,15.0,25.38,True,ancient
608,498,25,15.0,23.05,True,recent
498,108,23,13.8,20.1,True,recent
318,24,23,13.8,26.7,True,recent
360,24,23,13.8,64.94,False,none
62,636,23,13.8,21.14,False,none
200,2,22,13.2,21.9,True,recent
404,564,20,12.0,42.02,True,recent
224,385,20,12.0,32.44,True,recent
88,127,20,12.0,22.93,True,recent
4,91,20,12.0,41.79,True,recent
589,594,20,12.0,43.13,True,recent
384,639,20,12.0,61.98,True,recent
490,307,20,12.0,68.04,True,recent
290,24,20,12.0,29.41,True,recent
182,214,20,12.0,24.03,True,recent
310,56,18,10.8,42.99,True,recent
230,620,18,10.8,20.41,True,recent
546,342,18,10.8,23.05,True,recent
574,356,18,10.8,20.13,True,recent
174,620,18,10.8,29.86,True,recent
384,26,18,10.8,21.26,True,recent
18,518,18,10.8,20.05,False,none
404,274,17,10.2,25.28,True,recent
158,638,17,10.2,20.92,False,none
340,74,17,10.2,20.17,True,ancient
532,576,17,10.2,23.36,True,recent
252,466,17,10.2,23.67,True,recent
206,396,17,10.2,21.3,True,recent
200,236,16,9.6,54.63,True,recent
0,0,16,9.6,31.13,False,none
407,46,16,9.6,34.71,True,recent
500,45,16,9.6,33.21,True,recent
493,159,16,9.6,32.31,True,recent
542,324,16,9.6,33.89,True,recent
0,467,16,9.6,24.95,False,none
0,297,16,9.6,26.44,True,recent
0,619,16,9.6,33.47,False,none
624,50,15,9.0,41.45,True,recent
396,12,15,9.0,20.49,True,recent
354,476,15,9.0,26.72,True,ancient
490,130,14,8.4,36.24,True,recent
16,118,14,8.4,39.36,True,recent
620,162,14,8.4,38.22,True,recent
240,256,14,8.4,28.11,True,recent
104,16,14,8.4,21.42,True,recent
468,590,14,8.4,28.38,True,recent
14,60,14,8.4,29.56,False,none
624,574,14,8.4,22.58,True,recent
478,602,14,8.4,42.11,True,recent
626,288,14,8.4,28.06,True,recent
384,530,14,8.4,30.24,True,recent
624,76,13,7.8,33.41,True,recent
624,358,13,7.8,29.56,True,ancient
525,192,12,7.2,33.28,True,recent
607,141,12,7.2,37.59,True,recent
609,96,12,7.2,44.76,True,recent
318,446,12,7.2,36.44,True,recent
639,120,12,7.2,44.44,True,recent
639,339,12,7.2,47.81,True,ancient
446,347,12,7.2,34.9,True,recent
531,87,12,7.2,32.98,True,recent
251,43,12,7.2,38.03,True,recent
54,437,12,7.2,38.64,True,ancient
639,174,12,7.2,44.18,True,recent
639,240,12,7.2,32.17,True,recent
14,323,12,7.2,21.54,True,recent
495,559,12,7.2,41.09,True,recent
155,321,12,7.2,27.34,True,recent
639,161,12,7.2,29.69,True,recent
337,476,12,7.2,28.98,True,ancient
348,434,12,7.2,27.48,True,recent
228,10,12,7.2,33.5,True,recent
325,0,12,7.2,20.83,True,recent
574,127,12,7.2,23.89,True,recent
126,639,12,7.2,20.79,False,none
126,453,12,7.2,44.63,True,recent
450,295,12,7.2,52.63,True,recent
594,318,12,7.2,33.15,True,recent
393,70,12,7.2,60.21,True,recent
225,481,12,7.2,45.17,True,recent
296,390,12,7.2,25.55,True,recent
182,238,12,7.2,20.46,True,ancient
180,106,12,7.2,23.98,True,ancient
515,364,12,7.2,76.94,True,recent
639,380,12,7.2,74.31,True,ancient
366,240,12,7.2,64.85,True,ancient
542,385,12,7.2,62.17,True,recent
0,516,12,7.2,61.16,False,none
488,0,12,7.2,57.18,True,recent
194,158,12,7.2,63.07,True,recent
343,40,12,7.2,61.31,True,ancient
128,499,12,7.2,61.39,True,recent
183,366,12,7.2,49.98,True,recent
512,454,12,7.2,54.53,True,recent
430,0,12,7.2,43.07,True,recent
23,79,12,7.2,62.26,True,recent
493,599,12,7.2,51.0,True,recent
535,400,12,7.2,58.18,True,recent
360,498,12,7.2,52.76,True,ancient
574,378,12,7.2,50.76,True,ancient
69,86,12,7.2,48.83,True,recent
364,222,11,6.6,31.73,True,recent
102,524,9,5.4,22.95,True,recent
428,348,8,4.8,21.0,True,ancient
280,423,7,4.2,47.57,True,recent
22,611,7,4.2,44.79,False,none
127,577,7,4.2,45.6,True,recent
507,76,7,4.2,38.16,True,recent
80,342,7,4.2,41.57,True,recent
206,300,7,4.2,38.64,True,recent
308,214,7,4.2,43.4,True,recent
266,158,7,4.2,45.9,True,recent
94,639,7,4.2,41.41,False,none
41,556,7,4.2,48.74,False,none
603,167,7,4.2,49.69,True,recent
157,11,7,4.2,39.27,True,recent
123,68,7,4.2,49.91,True,recent
39,582,7,4.2,32.94,False,none
196,572,7,4.2,38.23,True,recent
95,48,7,4.2,49.9,True,recent
372,288,7,4.2,44.52,True,ancient
219,313,7,4.2,45.84,True,recent
69,8,7,4.2,42.04,False,none
69,371,7,4.2,40.86,True,recent
0,147,7,4.2,35.76,False,none
379,489,7,4.2,48.97,True,ancient
353,328,7,4.2,41.47,True,recent
50,310,7,4.2,39.07,True,recent
224,159,7,4.2,36.55,True,recent
593,64,7,4.2,44.13,True,ancient
211,451,7,4.2,39.81,True,recent
456,551,7,4.2,49.79,True,recent
525,600,7,4.2,35.1,True,recent
93,400,7,4.2,42.12,True,ancient
68,152,7,4.2,47.42,True,recent
639,478,7,4.2,35.81,True,recent
348,102,7,4.2,47.02,True,ancient
514,502,7,4.2,44.25,True,recent
15,385,7,4.2,39.39,True,recent
144,192,7,4.2,34.17,True,recent
307,170,7,4.2,43.61,True,recent
87,169,7,4.2,45.55,True,recent
295,0,7,4.2,40.69,True,recent
107,472,7,4.2,47.88,True,recent
57,254,7,4.2,46.97,True,recent
128,265,7,4.2,38.52,True,ancient
100,108,7,4.2,38.86,True,ancient
90,211,7,4.2,55.05,True,ancient
512,529,7,4.2,49.13,True,recent
157,241,7,4.2,45.26,True,ancient
336,320,7,4.2,41.29,True,recent
105,553,7,4.2,36.75,True,recent
357,253,7,4.2,53.51,True,ancient
299,305,7,4.2,46.58,True,recent
135,478,7,4.2,39.42,True,recent
154,554,7,4.2,58.56,True,recent
171,94,7,4.2,46.35,True,ancient
166,347,7,4.2,46.72,True,recent
639,552,7,4.2,43.72,True,recent
42,238,7,4.2,59.8,False,none
308,82,7,4.2,49.53,True,recent
70,431,7,4.2,51.06,True,ancient
607,356,7,4.2,52.81,True,recent
186,392,7,4.2,48.44,True,recent
579,160,7,4.2,51.33,True,recent
45,378,7,4.2,43.74,True,recent
413,18,7,4.2,46.03,True,recent
13,456,7,4.2,46.97,False,none
572,312,7,4.2,45.85,True,recent
557,99,7,4.2,47.5,True,recent
50,228,7,4.2,45.85,False,none
618,626,7,4.2,53.92,True,recent
223,52,7,4.2,36.83,True,recent
393,58,7,4.2,44.16,True,recent
132,426,7,4.2,39.54,True,recent
142,68,7,4.2,37.26,True,recent
23,233,7,4.2,47.01,False,none
10,209,7,4.2,45.75,False,none
15,141,7,4.2,39.59,True,recent
24,258,7,4.2,51.97,True,recent
276,481,7,4.2,40.59,True,ancient
132,196,7,4.2,58.4,True,recent
336,391,7,4.2,47.99,True,recent
106,437,7,4.2,47.11,True,recent
330,422,7,4.2,36.24,True,recent
393,295,7,4.2,28.03,True,recent
148,16,7,4.2,45.14,True,recent
273,206,7,4.2,31.55,True,recent
599,388,7,4.2,37.69,True,ancient
231,447,7,4.2,27.3,True,recent
148,367,7,4.2,35.32,True,recent
431,325,7,4.2,28.97,True,recent
71,407,7,4.2,22.39,True,ancient
119,384,7,4.2,35.43,True,recent
187,293,7,4.2,31.94,True,recent
13,595,7,4.2,22.51,False,none
604,0,7,4.2,32.02,True,ancient
609,425,7,4.2,35.28,True,recent
639,587,7,4.2,28.32,True,recent
559,159,7,4.2,23.89,True,recent
270,287,7,4.2,36.22,True,recent
256,247,7,4.2,26.51,True,recent
15,355,7,4.2,31.88,True,recent
410,67,7,4.2,37.79,True,recent
264,442,7,4.2,28.05,True,recent
570,327,7,4.2,23.34,True,recent
639,533,7,4.2,25.65,True,recent
107,166,7,4.2,39.14,True,recent
600,372,7,4.2,34.41,True,ancient
493,346,7,4.2,21.11,True,recent
419,338,7,4.2,20.49,True,recent
40,191,7,4.2,22.15,False,none
443,50,7,4.2,25.75,True,recent
70,184,7,4.2,23.52,False,none
608,602,7,4.2,25.64,True,recent
252,273,7,4.2,30.34,True,recent
205,560,7,4.2,22.65,True,recent
223,431,7,4.2,27.58,True,recent
443,69,7,4.2,22.58,True,recent
259,293,7,4.2,26.02,True,recent
485,20,7,4.2,23.38,True,recent
192,454,7,4.2,34.63,True,recent
482,374,7,4.2,31.46,True,recent
552,528,7,4.2,54.76,True,recent
571,85,7,4.2,28.59,True,ancient
420,583,7,4.2,27.79,True,recent
544,152,7,4.2,29.63,True,recent
366,273,7,4.2,24.95,True,ancient
496,573,7,4.2,26.33,True,recent
0,562,7,4.2,28.58,False,none
550,503,7,4.2,44.13,True,recent
302,402,7,4.2,43.74,True,recent
143,495,7,4.2,37.42,True,recent
307,141,7,4.2,39.78,True,recent
165,0,7,4.2,34.44,True,recent
623,397,7,4.2,44.12,True,recent
50,42,7,4.2,42.76,False,none
579,425,7,4.2,36.99,True,recent
177,401,7,4.2,46.46,True,recent
198,190,7,4.2,40.43,True,recent
609,410,7,4.2,31.72,True,recent
476,32,7,4.2,40.69,True,recent
64,581,7,4.2,44.71,False,none
468,3,7,4.2,48.9,True,recent
80,240,7,4.2,37.5,True,ancient
267,392,7,4.2,38.7,True,recent
0,378,7,4.2,27.69,True,recent
505,418,7,4.2,36.3,True,recent
590,86,7,4.2,37.86,True,ancient
639,412,7,4.2,34.45,True,recent
162,105,7,4.2,39.31,True,ancient
274,324,7,4.2,46.35,True,recent
360,373,7,4.2,28.52,True,recent
173,468,7,4.2,35.85,True,recent
544,175,7,4.2,33.11,True,recent
252,633,7,4.2,41.03,True,ancient
152,515,7,4.2,36.88,True,recent
319,492,7,4.2,42.11,True,ancient
600,181,7,4.2,36.67,True,recent
282,262,7,4.2,32.83,True,ancient
431,551,7,4.2,32.35,True,recent
639,0,7,4.2,40.73,True,recent
403,345,7,4.2,34.01,True,recent
156,264,7,4.2,23.1,True,ancient
612,461,7,4.2,39.39,True,ancient
71,201,7,4.2,36.2,False,none
639,434,7,4.2,35.91,True,recent
272,371,7,4.2,58.87,True,recent
35,388,7,4.2,42.15,True,recent
0,214,7,4.2,52.22,False,none
248,374,7,4.2,68.01,True,recent
639,507,7,4.2,74.19,True,recent
251,521,7,4.2,67.31,True,ancient
112,221,7,4.2,76.03,True,recent
283,450,7,4.2,68.03,True,recent
80,537,7,4.2,73.07,False,none
200,123,7,4.2,66.14,True,recent
595,197,7,4.2,73.11,True,recent
228,539,7,4.2,68.22,True,ancient
137,402,7,4.2,74.3,True,recent
52,596,7,4.2,67.44,False,none
316,363,7,4.2,67.61,True,recent
0,255,7,4.2,65.7,True,recent
285,227,7,4.2,73.07,True,recent
99,380,7,4.2,70.31,True,recent
264,72,7,4.2,69.5,True,recent
281,138,7,4.2,68.45,True,recent
41,486,7,4.2,68.45,False,none
160,151,7,4.2,73.04,True,recent
471,347,7,4.2,69.8,True,recent
241,532,7,4.2,79.03,True,ancient
606,533,7,4.2,79.65,True,recent
322,76,7,4.2,62.76,True,recent
300,447,7,4.2,54.89,True,recent
639,65,7,4.2,68.43,True,recent
386,258,7,4.2,57.94,True,ancient
146,133,7,4.2,59.11,True,recent
55,287,7,4.2,70.81,True,recent
516,620,7,4.2,66.72,True,recent
297,184,7,4.2,59.28,True,recent
142,224,7,4.2,72.03,True,recent
15,28,7,4.2,66.02,False,none
312,473,7,4.2,58.81,True,ancient
82,423,7,4.2,66.87,True,ancient
97,259,7,4.2,67.19,True,ancient
256,9,7,4.2,74.1,True,recent
35,0,7,4.2,61.8,False,none
261,337,7,4.2,69.54,True,recent
554,559,7,4.2,67.82,True,recent
128,240,7,4.2,75.39,True,ancient
201,51,7,4.2,76.91,True,recent
300,276,7,4.2,62.42,True,ancient
482,411,7,4.2,81.45,True,recent
30,639,7,4.2,75.4,False,none
325,355,7,4.2,70.71,True,recent
164,536,7,4.2,78.03,True,recent
602,256,7,4.2,82.32,True,recent
170,376,7,4.2,85.84,True,recent
590,337,7,4.2,86.27,True,recent
226,264,7,4.2,82.79,True,recent
639,604,7,4.2,81.57,True,recent
176,60,7,4.2,75.96,True,recent
